[header]
width=40
height=11
tilewidth=120
tileheight=120
orientation=orthogonal

[tilesets]
tileset=res/tiles.png,120,120,0,0

[layer]
type=solid
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,3,3,3,3,4,0,0,0,0,0,1,1,1,1,2,3,4,0,0,0,0,0,0,0,
3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,2,3,3,3,3,4,0,1,1,1,1,3,3,3,4,2,3,4,0,0,0,0,0,0,0,
3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,2,3,3,3,3,4,0,2,3,3,3,3,3,3,4,2,3,4,0,1,1,1,1,1,1,
3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,2,3,3,3,3,4,0,2,3,3,3,3,3,3,4,2,3,4,0,2,3,3,3,3,3

